"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.27333950408892e-232,1.13677236631286,0.548,0.312,1.91056229167926e-227,"0","HIF3A"
6.18781259846783e-231,0.698532998302497,0.707,0.38,1.42895156336418e-226,"0","RPS4Y1"
2.49394813487451e-228,0.860632847570821,0.746,0.54,5.75927442786571e-224,"0","HOXB4"
6.9068188219771e-227,0.881894737591115,0.792,0.602,1.59499167055917e-222,"0","AKAP12"
1.00849485666267e-226,0.334183855149312,1,1,2.3289171724911e-222,"0","EIF1"
7.79990870068544e-226,1.13345781839375,0.514,0.279,1.80123291624929e-221,"0","CD248"
3.00727649511714e-225,0.427773927778595,0.991,0.97,6.94470361017402e-221,"0","SSR2"
2.45163524298702e-222,1.1524029578632,0.568,0.346,5.66156126662992e-218,"0","TBC1D1"
7.06042798932231e-221,0.551336795131943,0.948,0.892,1.6304646355742e-216,"0","TTC3"
4.90056265698659e-219,1.31334115895234,0.572,0.363,1.13168693437791e-214,"0","ARHGAP28"
3.63662530902241e-217,0.270405821533625,1,1,8.39805882612546e-213,"0","RPS11"
7.14005851756363e-215,0.447199680912918,0.997,0.977,1.64885371346097e-210,"0","MARCKS"
1.28585731762799e-214,1.1954992437919,0.463,0.242,2.96943030359832e-210,"0","C1orf54"
1.84294084836635e-209,0.721823406583543,0.793,0.635,4.25590330113241e-205,"0","CD81"
8.17470628999891e-208,0.987998957643868,0.638,0.435,1.88778492354945e-203,"0","IRF2BPL"
1.91575116416398e-206,0.849749095153236,0.687,0.457,4.42404416340388e-202,"0","MFAP4"
3.15373920860458e-204,1.13746327770634,0.481,0.261,7.28292995443056e-200,"0","SCD5"
3.19721841561436e-204,1.33410660608668,0.459,0.252,7.38333648717823e-200,"0","PRICKLE1"
9.0143564207686e-204,1.0083499090815,0.633,0.434,2.08168532824809e-199,"0","STAT3"
1.55153690422383e-203,1.33385488402913,0.392,0.189,3.58296417292409e-199,"0","S1PR3"
1.35522491257982e-202,1.49665862190025,0.297,0.121,3.12962089062057e-198,"0","DCLK2"
5.08730972840846e-199,0.661820259641647,0.843,0.635,1.17481243558136e-194,"0","ZFHX4"
5.13795378573646e-198,1.52319754116081,0.282,0.112,1.18650766774012e-193,"0","CREB3L1"
3.22423011882468e-193,1.05040542776099,0.503,0.284,7.44571461340183e-189,"0","NR2F2-AS1"
1.31023362742508e-191,0.696110510373868,0.786,0.641,3.02572251581273e-187,"0","C6orf48"
1.80388504414578e-190,0.929872415445082,0.559,0.343,4.16571173244586e-186,"0","PLS3"
4.24427442770787e-190,1.15403746646605,0.494,0.286,9.80130293590578e-186,"0","PRKG1"
3.31291531398266e-188,1.37559370787754,0.306,0.131,7.65051533458015e-184,"0","MYLK"
7.39655513701429e-188,1.10844030301809,0.537,0.333,1.70808647779071e-183,"0","SYNE1"
4.86381580075142e-186,1.45428555316682,0.388,0.198,1.12320098286753e-181,"0","FJX1"
5.543238303837e-185,0.883667450931944,0.626,0.419,1.28010002150508e-180,"0","PBX3"
1.37865247037754e-183,1.36758116630019,0.28,0.115,3.18372214984286e-179,"0","NID2"
3.02021969582867e-183,1.33507351875338,0.352,0.167,6.97459334357714e-179,"0","DKKL1"
1.51519652170256e-181,1.04848233077745,0.463,0.254,3.49904332756773e-177,"0","LSAMP"
6.18345437194726e-180,0.402997817671303,0.99,0.956,1.42794511811378e-175,"0","SEPT7"
3.6118986510456e-175,0.8069824813771,0.674,0.467,8.3409575548596e-171,"0","TCF21"
5.74186328476109e-175,0.744921105868242,0.739,0.565,1.32596848834988e-170,"0","BCL11A"
1.63873700322876e-174,0.319124576814668,0.996,0.944,3.78433536155619e-170,"0","TUBA1A"
5.47562222836368e-173,0.646066679761594,0.794,0.629,1.26448544119602e-168,"0","CDK6"
5.50778444875666e-171,0.403321045072148,0.996,0.939,1.27191266275137e-166,"0","CALD1"
4.9468245612666e-169,1.28379331687909,0.338,0.162,1.1423701959333e-164,"0","ANGPTL2"
7.86328297398083e-168,1.51671776822502,0.264,0.11,1.81586793718139e-163,"0","FILIP1"
3.49019958988406e-163,1.20431731113595,0.332,0.158,8.05991791291926e-159,"0","RRAS"
4.29578575118953e-163,0.987009895887667,0.324,0.148,9.92025803522198e-159,"0","C7"
7.09040249856646e-163,1.35012666765462,0.376,0.199,1.63738664899395e-158,"0","PMP22"
1.13328087439809e-160,1.61198480746027,0.265,0.116,2.61708552324751e-156,"0","TAC3"
1.26007672427281e-159,0.798462617770818,0.621,0.418,2.9098951793632e-155,"0","KIF26B"
1.19435582474203e-158,0.869034126012156,0.507,0.308,2.75812590607677e-154,"0","SOCS3"
1.6918154504112e-158,0.930939914683673,0.516,0.32,3.90690941963459e-154,"0","NID1"
7.19485210991474e-158,1.38967877673532,0.349,0.18,1.66150719774261e-153,"0","AC007952.4"
5.28955196247208e-157,1.06152428423884,0.439,0.252,1.22151623469368e-152,"0","IL11RA"
4.87661198781264e-150,0.897237585094856,0.664,0.519,1.12615600634557e-145,"0","PPP1R15A"
1.64173519204857e-149,0.782269182226987,0.62,0.429,3.79125907899775e-145,"0","FBN1"
3.98472277462705e-149,0.996498832370434,0.406,0.221,9.20192030344625e-145,"0","SYNPO2"
1.2404535676147e-148,1.30546831980409,0.306,0.147,2.86457942369262e-144,"0","GRIA4"
3.85571803527951e-148,1.1701297015655,0.428,0.253,8.90400965887097e-144,"0","SHTN1"
1.27726364994025e-146,1.03979498859009,0.471,0.286,2.94958494680701e-142,"0","SNAI2"
3.11931866599933e-146,0.408228396486719,0.965,0.922,7.20344259539225e-142,"0","LAPTM4A"
2.10629191657629e-145,0.485375170238796,0.876,0.753,4.86405992294963e-141,"0","MFAP2"
9.73271011326105e-144,0.745857589692081,0.603,0.41,2.24757474645537e-139,"0","TBX3"
4.39484082087164e-143,0.71934647833272,0.508,0.316,1.01490059076389e-138,"0","MAF"
7.03210416302766e-143,1.17584361785314,0.329,0.166,1.62392381436798e-138,"0","TNS2"
1.1783412746226e-142,0.702654242898851,0.644,0.457,2.72114350548598e-138,"0","EVA1B"
3.2824155765047e-141,0.936447140121223,0.539,0.367,7.58008229082231e-137,"0","NOTCH2"
6.14984433450516e-141,0.694520423581841,0.774,0.684,1.42018355216728e-136,"0","CCNL1"
1.65809381922021e-137,0.713430009442039,0.695,0.555,3.82903605672524e-133,"0","FGFR1"
8.14994064072705e-135,0.77409100014849,0.631,0.478,1.8820657921631e-130,"0","GSTA4"
3.33647519221589e-132,0.568953276550383,0.727,0.542,7.70492216138415e-128,"0","CCDC80"
3.50299586851866e-132,0.482449597102043,0.845,0.655,8.08946835917014e-128,"0","CDH11"
5.30386766784515e-132,0.980510433318599,0.448,0.276,1.22482216053548e-127,"0","TSC22D3"
4.09540227847365e-131,0.73090188095296,0.564,0.373,9.45751248167921e-127,"0","MXRA8"
