clone.id,cell.barcode
2,8J+10A+3A
2,9F+10A+1A
2,1G+10A+1A
2,24E+10A+3A
2,8D+10A+3A
2,6M+10A+1A
2,20A+10A+3A
2,9P+10A+3A
2,6D+10A+3A
2,5K+10A+3A
2,13L+10A+3A
2,12O+10A+1A
2,15D+10A+3A
2,11E+10A+3A
2,2G+10A+3A
2,6B+10A+3A
2,1K+10A+3A
2,24G+10A+1A
2,13E+10A+3A
2,13O+10A+3A
2,11L+10A+3A
2,22C+10A+3A
2,2G+10A+1A
2,14K+10A+1A
2,4I+10A+3A
2,10F+10A+3A
2,23N+10A+3A
2,21D+10A+3A
2,20I+10A+3A
2,17B+10A+3A
2,21C+10A+3A
2,22J+10A+3A
2,16G+10A+3A
2,1C+10A+3A
2,19M+10A+3A
2,10K+10A+1A
2,12P+10A+3A
2,10N+10A+1A
2,14F+10A+3A
2,5C+10A+3A
2,9L+10A+3A
2,3P+10A+3A
2,24I+10A+3A
2,12H+10A+1A
2,1O+10A+3A
2,14G+10A+3A
2,22K+10A+3A
2,1A+10A+1A
2,10L+10A+3A
2,17C+10A+3A
2,21L+10A+1A
2,3A+10A+3A
2,24G+10A+3A
2,12N+10A+3A
2,11B+10A+3A
2,19E+10A+1A
2,1A+10A+3A
2,14O+10A+1A
2,23G+10A+1A
2,20J+10A+1A
2,16D+10A+3A
2,9G+10A+3A
2,21G+10A+3A
2,19K+10A+1A
2,19K+10A+3A
2,17H+10A+3A
2,15C+10A+1A
2,13F+10A+3A
2,18L+10A+3A
2,18F+10A+3A
2,22F+10A+3A
2,4A+10A+1A
2,20H+10A+3A
2,7G+10A+3A
2,24D+10A+1A
2,11K+10A+1A
2,4K+10A+1A
2,13M+10A+1A
2,5L+10A+3A
2,3F+10A+3A
2,13G+10A+3A
2,6G+10A+3A
2,10C+10A+3A
2,3G+10A+3A
2,21F+10A+3A
2,8L+10A+1A
2,2P+10A+3A
2,9E+10A+1A
2,5N+10A+3A
2,16A+10A+3A
2,1I+10A+3A
2,3O+10A+3A
2,19C+10A+3A
2,1I+10A+1A
2,7F+10A+1A
2,2I+10A+3A
2,17E+10A+1A
2,20J+10A+3A
2,23C+10A+3A
2,13N+10A+3A
2,17N+10A+3A
2,23P+10A+3A
2,24C+10A+3A
2,8I+10A+3A
2,14C+10A+3A
2,23I+10A+1A
2,2K+10A+3A
2,16K+10A+3A
2,3N+10A+3A
2,22D+10A+3A
2,24K+10A+3A
2,8G+10A+3A
2,16O+10A+3A
2,10O+10A+3A
2,17K+10A+1A
2,6P+10A+3A
2,6N+10A+1A
2,4M+10A+3A
2,13M+10A+3A
2,3K+10A+3A
2,16B+10A+1A
2,16F+10A+3A
2,2L+10A+3A
2,19H+10A+3A
2,13D+10A+3A
2,7A+10A+3A
2,14O+10A+3A
2,7J+10A+3A
2,12A+10A+3A
2,15G+10A+3A
2,14L+10A+1A
2,8E+10A+3A
2,16G+10A+1A
2,18H+10A+3A
2,6I+10A+1A
2,24P+10A+1A
2,3M+10A+3A
2,5H+10A+3A
2,12J+10A+3A
2,2A+10A+1A
2,11G+10A+3A
2,17J+10A+3A
2,19D+10A+3A
2,6O+10A+1A
2,18D+10A+3A
2,7L+10A+3A
2,10D+10A+3A
2,6C+10A+3A
2,4H+10A+1A
2,20K+10A+3A
2,16C+10A+1A
