"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SIGLEC6",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","SIGLEC6"
"ZNF835",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","ZNF835"
"C2orf80",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","C2orf80"
"AC105999.1",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AC105999.1"
"PRELP",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","PRELP"
"SLC9A4",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","SLC9A4"
"AL035587.3",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AL035587.3"
"Z99496.1",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","Z99496.1"
"AC083864.5",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AC083864.5"
"AC021733.4",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AC021733.4"
"FOLR3",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","FOLR3"
"AC044781.1",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AC044781.1"
"PNLIPRP1",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","PNLIPRP1"
"LINC01049",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","LINC01049"
"MOAP1",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","MOAP1"
"AC174469.1",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AC174469.1"
"AC005180.2",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AC005180.2"
"AL135936.1",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AL135936.1"
"AC092617.1",9.96076534597175e-06,5.40219217071388,0.019,0.001,0.233948495680839,"12","AC092617.1"
"LINC02316",9.9929534964634e-06,5.17979974937743,0.019,0.001,0.234704498771436,"12","LINC02316"
"SGO1-AS11",1.07740104804577e-05,1.6146005034777,0.25,0.08,0.253049184154511,"12","SGO1-AS1"
"AL807742.1",1.14426175793039e-05,2.68196984038225,0.154,0.038,0.268752759085111,"12","AL807742.1"
"HCRTR21",1.17214995396012e-05,3.08026407582651,0.077,0.011,0.275302859686613,"12","HCRTR2"
"AP000282.1",1.17214995396012e-05,3.08026407582651,0.077,0.011,0.275302859686613,"12","AP000282.1"
"AP003464.1",1.17636416738739e-05,3.06115525287881,0.077,0.011,0.276292651994276,"12","AP003464.1"
"SUCLG2-AS1",1.19971708030681e-05,2.35053005089138,0.135,0.03,0.28177755065166,"12","SUCLG2-AS1"
"GBX1",1.22452207185845e-05,3.43256581975739,0.058,0.007,0.287603499017394,"12","GBX1"
"GRIK11",1.23249669924982e-05,2.47258149860527,0.115,0.023,0.289476499752805,"12","GRIK1"
"AC013287.1",1.26814004201568e-05,2.08669034498595,0.212,0.064,0.297848051668223,"12","AC013287.1"
"DCHS2",1.3073411487798e-05,3.30533063146129,0.077,0.011,0.307055215613911,"12","DCHS2"
"AC104596.1",1.33927896276186e-05,2.52772305279774,0.115,0.023,0.314556449983878,"12","AC104596.1"
"PCYT1B1",1.34949312780238e-05,2.50910737463039,0.115,0.023,0.316955450926944,"12","PCYT1B"
"AHR2",1.34949313958962e-05,2.49988884460101,0.115,0.023,0.316955453695415,"12","AHR"
"DNAH12",1.35977904194021e-05,2.48162663820828,0.115,0.023,0.319371303580498,"12","DNAH12"
"AC073225.11",1.39173497468064e-05,3.06115525287881,0.077,0.011,0.326876793503241,"12","AC073225.1"
"BHLHE40-AS1",1.39173497468064e-05,3.06115525287881,0.077,0.011,0.326876793503241,"12","BHLHE40-AS1"
"PDE6A1",1.39173497468064e-05,3.06115525287881,0.077,0.011,0.326876793503241,"12","PDE6A"
"RPGRIP1",1.39666840760525e-05,3.04229622562749,0.077,0.011,0.328035508894245,"12","RPGRIP1"
"OTOA",1.39666840760525e-05,3.04229622562749,0.077,0.011,0.328035508894245,"12","OTOA"
"ARHGAP29-AS1",1.401617873986e-05,3.02368054746015,0.077,0.011,0.329197990063092,"12","ARHGAP29-AS1"
"CA10",1.41523101495788e-05,2.753099332573,0.135,0.03,0.332395308483157,"12","CA10"
"AL035446.2",1.42739363557833e-05,2.92414487390923,0.096,0.017,0.335251943188283,"12","AL035446.2"
"LINC01821",1.54025095035898e-05,3.30533063146129,0.077,0.012,0.361758740710814,"12","LINC01821"
"EPHA3",1.54778965172926e-05,2.68947412279435,0.096,0.017,0.363529355501652,"12","EPHA3"
"P2RY141",1.59174605757223e-05,3.46359271537802,0.058,0.007,0.37385339654199,"12","P2RY14"
"HPSE",1.59174605757223e-05,3.46359271537802,0.058,0.007,0.37385339654199,"12","HPSE"
"Z95118.2",1.59174605757223e-05,3.46359271537802,0.058,0.007,0.37385339654199,"12","Z95118.2"
"AL133480.1",1.59174605757223e-05,3.46359271537802,0.058,0.007,0.37385339654199,"12","AL133480.1"
"CD381",1.5944922010932e-05,4.11268555351889,0.038,0.003,0.374498383270759,"12","CD38"
"LINC016121",1.5944922010932e-05,4.11268555351889,0.038,0.003,0.374498383270759,"12","LINC01612"
"AL133268.4",1.5944922010932e-05,4.11268555351889,0.038,0.003,0.374498383270759,"12","AL133268.4"
"SPDYE16",1.5944922010932e-05,4.11268555351889,0.038,0.003,0.374498383270759,"12","SPDYE16"
"AC068790.8",1.5944922010932e-05,4.11268555351889,0.038,0.003,0.374498383270759,"12","AC068790.8"
"AC073167.1",1.5944922010932e-05,4.11268555351889,0.038,0.003,0.374498383270759,"12","AC073167.1"
"AC026458.2",1.5944922010932e-05,4.11268555351889,0.038,0.003,0.374498383270759,"12","AC026458.2"
"AC126696.1",1.5944922010932e-05,4.11268555351889,0.038,0.003,0.374498383270759,"12","AC126696.1"
"AC019130.1",1.59965593411046e-05,4.04855521609918,0.038,0.003,0.375711189244524,"12","AC019130.1"
"LURAP1L-AS1",1.59965593411046e-05,3.98715467143503,0.038,0.003,0.375711189244524,"12","LURAP1L-AS1"
"AL034405.1",1.64542887590268e-05,3.04229622562749,0.077,0.012,0.386461880083262,"12","AL034405.1"
"LINC01618",1.65118062923277e-05,3.02368054746015,0.077,0.012,0.3878127943879,"12","LINC01618"
"ALDH1A1",1.65695079309902e-05,3.00530201814529,0.077,0.012,0.389168032775167,"12","ALDH1A1"
"RFX4",1.66273944856621e-05,2.96923276343777,0.077,0.012,0.390527614284746,"12","RFX4"
"AL592429.2",1.68598375981163e-05,2.24568768503389,0.135,0.03,0.395987005666957,"12","AL592429.2"
"SLC27A6",1.68598395929364e-05,2.23896182184557,0.135,0.03,0.395987052519298,"12","SLC27A6"
"AC053513.1",1.72422226176335e-05,2.72662712121181,0.096,0.017,0.404968082620358,"12","AC053513.1"
"AC020687.1",1.72422226176335e-05,2.71413617702862,0.096,0.017,0.404968082620358,"12","AC020687.1"
"ST18",1.73668499316546e-05,2.68947412279435,0.096,0.017,0.407895204344771,"12","ST18"
"LINC009071",1.91669448048436e-05,2.10179723737615,0.154,0.038,0.450174032631361,"12","LINC00907"
"DNAH61",1.93421628695462e-05,2.65623779332042,0.115,0.024,0.454289379317032,"12","DNAH6"
"TSPAN8",1.94488391934665e-05,2.70175245257278,0.096,0.017,0.456794886136947,"12","TSPAN8"
"AC004704.1",2.00947635026426e-05,3.10451162207319,0.096,0.017,0.471965710386568,"12","AC004704.1"
